PostalCode,Hotel_Name,Address,Latitude,Longitude
75008,Mercure Paris Opera Garnier Hotel,4 rue de l 'Isly,48.873601,2.307613
75009,Scribe Paris Opéra by Sofitel,1 rue Scribe,48.87751,2.336875
75017,Mercure Paris St Lazare Monceau hotel,99 bis Rue de Rome,48.883574,2.304989
75002,Hôtel Stendhal Place Vendôme Paris - MGallery ...,22 rue Danielle Casanova,48.867317,2.344443
75018,Mercure Paris Montmartre Sacré-Coeur Hotel,3 rue Caulaincourt,48.89008,2.34984
75010,Hôtel L'Échiquier Opéra Paris - MGallery by So...,38 Rue De L Echiquier,48.877463,2.358011
75015,ibis Paris Tour Montparnasse 15th,22 Avenue du Maine,48.841416,2.295182
75014,Mercure Paris Gare Montparnasse Hotel,20 rue de la Gaité,48.828877,2.326006
75012,Mercure Paris Gare de Lyon TGV hotel,2 place Louis Armand,48.842645,2.387497
75013,Mercure Paris Bercy Bibliothèque Hotel,"6, boulevard Vincent Auriol",48.82931,2.362457
75001,Novotel Paris Les Halles,8 Place Marguerite de Navarre,48.863634,2.338707
75019,Aparthotel Adagio access Paris La Villette,28 bis avenue Corentin Cariou,48.886754,2.381324
93210,Novotel Suites Paris Stade de France hotel,31 Avenue Jules Rimet,48.909834,2.360205
92400,Pullman Paris La Défense,11 Avenue de l'Arche,48.89716,2.250882
78300,ibis Poissy,97 Avenue Maurice Berteaux,48.924018,2.038478
78100,Hôtel Mercure Paris Ouest Saint Germain,11 Avenue Des Loges,48.894447,2.071765
78240,ibis budget Chambourcy Saint Germain,"2, Rue du Mur du Parc",29.523344,-98.59317
78000,Hôtel Le Louis Versailles Château - MGallery b...,2 bis avenue de Paris,48.802251,2.130587
91550,bis Paris Coeur d'Orly Airport,19 promenade d'Orly,49.067463,10.321451
94656,Novotel Paris Orly Rungis,1 rue du pont des halles,47.871964,18.2707
92160,ibis Styles Antony Paris Sud,1 Rue Alexis De Tocqueville,48.750663,2.30191
91300,ibis Massy,6 rue du Saule Trapu,48.72519,2.268496
91380,hotelF1 Chilly Mazarin les Champarts,ZA de la Butte au Berger,48.702974,2.310613
94290,ibis budget Villeneuve le Roi,"5, Rue des Carrières Morillon",48.734323,2.422165
94400,bis budget Vitry sur Seine N7,"160, Rue Julian-Grimau",33.816177,-117.836233
93170,hotelF1 Paris Porte de Montreuil,"290-302, Rue Etienne Marcel",48.869241,2.421319
94120,ibis Styles Paris Val de Fontenay,2-4 Avenue du val de fontenay,48.850513,2.469842
93250,ibis budget Villemomble,"14, allée du plateau",48.887322,2.509166
94550,ibis budget Orly Chevilly Tram 7,72-78 AVENUE DE STALINGRAD,37.672369,-121.755366
94000,Novotel Paris Créteil Le Lac,Rue Jean Gabin,48.783181,2.456873
93290,Novotel Paris Charles-de-Gaulle Airport,Rue de Paris,48.961019,2.563066
95735,bis Styles Paris Charles de Gaulle Airport,1 Bis Rue de la Haye,49.01094,2.561831
95713,Hotel Mercure Paris CDG Airport & Convention,Roissypôle Ouest,39.093612,-120.929174
95700,Mercure Paris Roissy Charles de Gaulle Hotel,3 Allee du Verger,48.997246,2.51368
95974,ibis budget Roissy CDG Paris Nord 2,335 RUE DE LA BELLE ETOILE,39.493423,-121.763396
95971,ibis Styles Parc des Expositions de Villepinte,54 Avenue des Nations,39.939597,-120.943318
95972,ibis Villepinte Parc Expos,A104 Sortie no2 Visiteurs,39.440102,-121.323082
95190,bis budget Goussainville CDG,19 Rue Le Corbusier,49.041724,2.448407
95470,Novotel Survilliers Saint-Witz,ROUTE DE SURVILLIERS,49.081898,2.553729
93600,hotelF1 Aulnay Garonor A1,Rue Robert Brémond,48.940934,2.49138
